LocationAbbr,YearStart,Stratification1,High blood pressure,High cholesterol,Taking medicine for high cholesterol,Taking medicine to control high blood pressure,high_risk
CO,2019,"Asian, non-Hispanic",22.1,27.4,26.65,,0
CO,2019,"Black, non-Hispanic",49.599999999999994,24.05,24.05,62.8,1
CO,2019,Female,30.95,26.4,26.1,63.15,0
CO,2019,Hispanic,34.45,27.35,27.05,63.05,0
CO,2019,Male,35.3,30.15,29.75,54.95,1
CO,2019,"Multiracial, non-Hispanic",45.3,29.85,28.95,47.25,0
CO,2019,Overall,33.15,28.25,27.950000000000003,58.55,0
CO,2019,"White, non-Hispanic",32.150000000000006,28.6,28.299999999999997,57.15,0
CO,2021,"American Indian or Alaska Native, non-Hispanic",19.9,23.35,23.35,,1
CO,2021,"Asian, non-Hispanic",18.75,30.4,30.4,,0
CO,2021,"Black, non-Hispanic",48.650000000000006,28.65,28.5,68.9,1
CO,2021,Female,30.599999999999998,28.85,28.65,66.8,0
CO,2021,Hispanic,30.95,27.5,27.200000000000003,58.7,0
CO,2021,Male,36.3,31.1,30.75,58.5,1
CO,2021,"Multiracial, non-Hispanic",33.05,21.3,21.15,58.55,0
CO,2021,Overall,33.4,29.950000000000003,29.700000000000003,61.85,0
CO,2021,"White, non-Hispanic",33.6,30.75,30.55,61.75,0
CT,2019,"Asian, non-Hispanic",28.0,30.15,29.55,,0
CT,2019,"Black, non-Hispanic",55.099999999999994,31.1,30.9,71.3,1
CT,2019,Female,35.8,31.450000000000003,31.3,69.25,0
CT,2019,Hispanic,34.099999999999994,30.75,30.55,52.25,0
CT,2019,Male,41.15,33.6,33.35,62.849999999999994,1
CT,2019,Overall,38.349999999999994,32.45,32.2,65.7,0
CT,2019,"White, non-Hispanic",37.4,33.6,33.400000000000006,68.25,0
CT,2021,"Asian, non-Hispanic",23.3,30.0,29.95,,0
CT,2021,"Black, non-Hispanic",53.25,31.950000000000003,31.6,75.65,1
CT,2021,Female,35.1,30.9,30.65,75.19999999999999,0
CT,2021,Hispanic,33.55,28.75,28.549999999999997,65.3,0
CT,2021,Male,42.150000000000006,35.0,34.8,67.75,1
CT,2021,Overall,38.45,32.9,32.6,71.1,0
CT,2021,"White, non-Hispanic",38.15,34.05,33.85,71.15,0
DC,2019,"Black, non-Hispanic",53.650000000000006,32.15,31.85,69.55,1
DC,2019,Female,37.599999999999994,26.799999999999997,26.65,69.9,0
DC,2019,Hispanic,28.6,20.15,19.9,,0
DC,2019,Male,40.4,30.05,29.9,58.05,1
DC,2019,Overall,38.95,28.4,28.15,63.8,1
DC,2019,"White, non-Hispanic",25.85,25.549999999999997,25.4,57.3,0
DC,2021,"Black, non-Hispanic",50.7,29.8,29.65,66.3,1
DC,2021,Female,37.5,29.200000000000003,29.1,70.6,1
DC,2021,Hispanic,29.95,31.95,31.7,,0
DC,2021,Male,40.05,31.950000000000003,31.65,55.0,1
DC,2021,Overall,38.75,30.55,30.35,62.05,1
DC,2021,"White, non-Hispanic",27.1,31.95,31.75,53.85,0
DE,2019,"Asian, non-Hispanic",,18.5,18.5,,0
DE,2019,"Black, non-Hispanic",52.05,29.8,29.549999999999997,71.75,1
DE,2019,Female,40.45,31.049999999999997,30.950000000000003,73.1,0
DE,2019,Hispanic,28.5,30.75,30.700000000000003,61.8,0
DE,2019,Male,48.05,34.55,34.15,64.3,1
DE,2019,Overall,44.099999999999994,32.7,32.5,68.35,1
DE,2019,"White, non-Hispanic",44.55,34.7,34.400000000000006,65.35,1
DE,2021,"Asian, non-Hispanic",27.8,32.75,32.25,,0
DE,2021,"Black, non-Hispanic",52.2,31.9,31.75,67.15,1
DE,2021,Female,41.349999999999994,32.9,32.7,72.1,0
DE,2021,Hispanic,27.1,29.5,29.45,61.3,0
DE,2021,Male,44.7,37.150000000000006,37.05,66.6,1
DE,2021,Overall,42.900000000000006,34.95,34.75,69.15,1
DE,2021,"White, non-Hispanic",42.150000000000006,36.849999999999994,36.6,71.15,1
FL,2019,"American Indian or Alaska Native, non-Hispanic",36.7,20.9,20.7,81.5,0
FL,2019,"Asian, non-Hispanic",23.9,25.7,25.7,,0
FL,2019,"Black, non-Hispanic",48.4,25.299999999999997,25.1,78.65,1
FL,2019,Female,37.7,30.1,29.8,74.75,0
FL,2019,Hispanic,32.8,28.5,28.25,67.6,0
